Txn_ID,Month,Product,Region,Sales,Returns,Discount,Delivery_Time,Customer_Rating,Traffic,Marketing_Spend
T0001,January,Gamma,West,114974,38,7.4,1.5,3.9,967,45355
T0002,January,Alpha,South,89620,57,8.0,2.7,4.0,850,55604
T0003,January,Gamma,East,118098,46,9.1,2.1,4.0,1279,57582
T0004,January,Alpha,East,121385,44,16.9,2.6,4.6,1176,49428
T0005,January,Gamma,West,92873,23,13.0,2.5,3.4,897,52298
T0006,January,Gamma,East,117095,38,10.0,1.1,5.0,1013,55625
T0007,January,Gamma,North,101000,43,11.3,2.8,4.5,953,58529
T0008,January,Gamma,West,104855,39,11.0,2.6,3.8,1105,43134
T0009,January,Alpha,West,114091,25,11.0,1.8,3.8,957,44480
T0010,January,Gamma,South,96652,39,9.4,2.8,5.0,1159,51651
T0011,January,Alpha,North,105981,42,12.7,1.3,3.7,1008,52740
T0012,January,Alpha,South,118191,37,6.2,0.9,3.9,962,40327
T0013,January,Beta,South,112533,43,3.6,2.9,4.6,1143,49148
T0014,January,Beta,East,118223,58,12.2,1.5,4.0,1241,45202
T0015,January,Gamma,North,96413,30,14.1,2.4,4.4,1028,49475
T0016,January,Alpha,North,92045,32,8.3,2.3,3.7,811,46378
T0017,January,Alpha,East,103964,26,8.8,2.6,3.6,1097,49270
T0018,January,Alpha,West,108199,37,12.2,1.5,4.3,860,50810
T0019,January,Alpha,East,79665,44,10.1,3.1,4.7,825,43688
T0020,January,Beta,West,102899,51,9.6,1.5,3.6,1066,46484
T0021,January,Beta,East,105157,45,9.5,2.1,4.3,833,42950
T0022,January,Beta,North,114577,22,9.8,3.2,3.9,1189,44662
T0023,January,Gamma,South,111871,36,9.3,2.3,4.1,1060,50976
T0024,January,Beta,South,112037,30,18.7,1.4,4.4,918,52660
T0025,January,Alpha,West,88863,59,10.6,3.2,4.3,1091,55877
T0026,January,Beta,West,101347,53,10.4,2.5,3.2,853,45846
T0027,January,Gamma,West,89221,47,5.6,2.8,3.4,1000,48981
T0028,January,Beta,South,105744,55,9.5,2.1,4.4,985,55847
T0029,January,Beta,South,118146,41,11.2,1.4,5.0,971,42164
T0030,January,Gamma,South,109396,40,13.6,2.1,4.2,987,58991
T0031,February,Beta,East,101196,20,10.4,2.8,4.6,989,42009
T0032,February,Gamma,South,105226,54,5.5,1.9,3.8,912,48596
T0033,February,Beta,South,95078,21,9.6,3.0,3.4,935,51239
T0034,February,Beta,North,122873,19,11.2,2.2,4.2,1021,43754
T0035,February,Gamma,South,114665,34,3.0,2.6,4.2,940,50707
T0036,February,Gamma,South,101938,27,3.2,2.9,4.2,980,47095
T0037,February,Alpha,East,89725,32,6.0,3.1,5.0,936,53031
T0038,February,Gamma,North,106116,38,8.4,2.5,4.1,1011,45297
T0039,February,Alpha,South,104281,30,12.7,1.7,4.2,826,47417
T0040,February,Beta,South,105106,33,6.1,2.9,4.3,1177,52532
T0041,February,Alpha,North,110308,53,8.1,2.1,4.4,1107,46127
T0042,February,Alpha,South,118028,32,10.2,1.8,3.6,1272,44846
T0043,February,Beta,West,126115,34,12.5,1.9,4.1,982,43916
T0044,February,Beta,West,122048,26,10.9,1.7,4.8,1204,55597
T0045,February,Beta,North,110112,53,7.0,2.9,3.3,1011,37818
T0046,February,Alpha,East,107096,17,10.0,2.7,3.9,1121,41708
T0047,February,Alpha,North,107924,36,8.7,2.5,3.9,982,47182
T0048,February,Beta,South,101830,16,10.0,2.5,3.1,769,52385
T0049,February,Gamma,East,107751,45,8.6,2.9,4.0,999,50850
T0050,February,Alpha,East,117598,50,11.9,2.0,4.9,1092,56108
T0051,February,Gamma,South,112900,46,10.2,1.8,4.1,972,53736
T0052,February,Gamma,East,108036,50,7.3,2.1,3.4,968,57391
T0053,February,Beta,West,102435,32,6.6,2.3,4.2,755,50163
T0054,February,Beta,West,116314,44,7.9,2.4,3.4,1080,52375
T0055,February,Alpha,North,99057,37,13.1,2.7,4.4,869,57062
T0056,February,Beta,South,103129,27,8.3,2.1,3.2,1028,54359
T0057,February,Beta,East,119777,34,5.1,2.9,4.2,1217,57126
T0058,February,Alpha,South,118348,52,10.6,1.6,3.7,1032,44682
T0059,February,Beta,East,106594,34,8.3,1.6,3.6,741,48667
T0060,February,Beta,East,100412,40,9.6,2.9,4.2,1128,53014
T0061,March,Gamma,East,49401,79,16.5,4.4,1.9,1052,54097
T0062,March,Gamma,South,85969,41,10.6,3.4,4.0,1123,56413
T0063,March,Beta,East,62704,44,11.9,4.6,3.2,856,55084
T0064,March,Beta,East,66554,56,19.8,4.1,3.0,1155,51249
T0065,March,Gamma,South,61097,55,8.5,3.9,2.9,1011,51860
T0066,March,Gamma,South,83226,67,15.7,3.0,2.9,1240,58282
T0067,March,Alpha,North,57948,61,13.2,4.2,3.3,855,56568
T0068,March,Beta,North,77585,62,14.7,3.8,3.2,1058,59191
T0069,March,Gamma,South,87308,83,17.3,3.0,3.6,1203,51298
T0070,March,Alpha,South,68066,67,14.2,3.6,3.0,932,58155
T0071,March,Beta,West,65784,66,16.6,4.2,3.6,836,59953
T0072,March,Beta,West,64777,70,21.6,3.8,3.5,989,55345
T0073,March,Gamma,West,71490,49,11.7,4.8,4.3,1134,57529
T0074,March,Beta,South,64145,71,15.5,4.1,3.6,998,65951
T0075,March,Beta,East,62720,71,14.8,3.3,2.1,905,58649
T0076,March,Beta,West,60159,66,13.5,4.5,3.8,942,64541
T0077,March,Beta,East,71685,87,15.9,4.7,3.0,1119,53031
T0078,March,Gamma,East,55739,74,16.5,4.2,2.8,880,61302
T0079,March,Beta,East,73266,57,16.7,3.8,2.9,1342,59832
T0080,March,Alpha,East,76771,76,16.1,3.9,3.4,1206,59364
T0081,March,Gamma,North,77114,65,10.8,2.9,2.8,976,56289
T0082,March,Gamma,West,69030,51,12.3,4.3,3.5,1006,47219
T0083,March,Beta,East,78316,67,13.6,3.7,3.7,1093,57523
T0084,March,Gamma,South,62030,43,17.4,4.6,4.2,1098,58472
T0085,March,Gamma,South,57845,81,17.3,3.9,2.9,794,54430
T0086,March,Gamma,South,65088,70,16.5,4.6,3.3,1025,59952
T0087,March,Alpha,North,65420,55,17.3,4.4,3.4,1012,59075
T0088,March,Gamma,South,73472,66,13.4,4.4,4.6,1023,69032
T0089,March,Beta,North,73600,68,13.9,4.2,4.0,1038,54005
T0090,March,Gamma,South,65989,53,16.2,3.7,3.9,960,71519
T0091,April,Alpha,North,103791,42,12.2,2.0,4.4,1015,49682
T0092,April,Alpha,South,99214,55,7.8,2.2,4.4,902,53387
T0093,April,Alpha,West,112802,29,4.9,2.1,3.6,1149,64063
T0094,April,Gamma,East,100078,47,10.2,2.8,3.9,854,51675
T0095,April,Beta,North,116729,38,7.0,1.5,3.9,1028,40687
T0096,April,Beta,West,114310,42,7.2,1.9,3.2,1065,53630
T0097,April,Beta,East,107908,41,7.6,2.2,4.4,1001,48924
T0098,April,Alpha,South,97921,49,11.3,2.9,4.6,964,47719
T0099,April,Gamma,West,113378,32,10.0,2.5,3.4,1213,45667
T0100,April,Beta,East,109632,41,7.6,1.8,4.4,907,50429
T0101,April,Beta,North,123924,28,6.8,1.7,3.6,1033,52425
T0102,April,Gamma,South,93775,23,9.1,3.2,4.6,989,45487
T0103,April,Gamma,East,110258,27,7.8,2.5,4.1,925,42089
T0104,April,Alpha,North,94467,53,6.5,2.7,4.4,714,55168
T0105,April,Beta,East,104007,47,9.4,2.8,4.0,905,50691
T0106,April,Gamma,West,106009,41,6.7,2.9,2.6,945,52081
T0107,April,Beta,South,109154,53,4.0,3.2,4.2,1226,47267
T0108,April,Alpha,East,91151,45,16.8,3.1,4.7,1043,53487
T0109,April,Beta,East,84504,33,12.8,4.0,3.9,948,55824
T0110,April,Gamma,West,96535,63,8.7,2.7,4.1,893,36186
T0111,April,Alpha,West,99531,45,10.8,3.3,4.3,1031,54132
T0112,April,Gamma,West,112888,53,9.2,2.8,4.1,1048,61171
T0113,April,Alpha,West,112181,29,14.4,2.6,3.3,1062,38902
T0114,April,Beta,South,95351,52,10.3,4.2,4.5,995,47542
T0115,April,Alpha,West,94499,37,9.4,3.0,3.8,977,39726
T0116,April,Beta,East,110111,25,11.9,2.5,3.0,1089,53257
T0117,April,Alpha,East,91646,35,14.7,3.4,4.3,1038,56046
T0118,April,Beta,West,122340,26,8.8,2.0,4.0,1177,55596
T0119,April,Beta,West,107691,40,2.7,2.8,4.1,1191,48226
T0120,April,Gamma,North,102226,20,8.4,2.9,4.4,1094,42335
T0121,May,Gamma,South,115677,29,12.1,1.5,3.5,994,40195
T0122,May,Beta,North,112557,43,11.8,2.2,3.8,978,46778
T0123,May,Alpha,West,105556,11,5.1,2.7,3.8,1069,45670
T0124,May,Beta,South,116075,31,5.7,3.2,3.8,1189,41486
T0125,May,Alpha,East,83515,41,9.2,3.4,4.7,720,40694
T0126,May,Beta,North,116023,27,15.5,1.6,4.2,930,49915
T0127,May,Beta,West,94581,40,10.8,3.1,4.4,885,45084
T0128,May,Gamma,West,106771,49,17.8,2.3,4.5,1088,54096
T0129,May,Beta,East,106816,51,7.5,2.3,3.8,951,52705
T0130,May,Alpha,West,90790,31,6.1,2.4,3.7,770,43702
T0131,May,Alpha,South,111728,43,10.0,2.2,4.4,1158,53309
T0132,May,Alpha,West,99752,61,10.6,3.0,3.7,1004,39841
T0133,May,Gamma,North,109906,56,9.7,2.6,4.1,995,49498
T0134,May,Gamma,North,109963,38,7.7,3.2,3.0,915,53829
T0135,May,Gamma,South,108724,54,10.7,3.1,4.6,1147,52765
T0136,May,Alpha,North,120895,42,9.1,2.1,4.5,1043,54526
T0137,May,Gamma,South,88556,37,14.3,2.8,5.0,929,50054
T0138,May,Alpha,West,103061,39,4.6,3.6,3.9,1065,48931
T0139,May,Alpha,West,102125,37,11.6,2.6,4.6,934,55741
T0140,May,Beta,East,97189,36,11.9,2.8,4.5,805,53072
T0141,May,Gamma,East,114317,19,16.1,1.5,4.0,941,48440
T0142,May,Gamma,West,112093,57,8.9,1.2,4.8,749,51945
T0143,May,Gamma,West,92941,42,15.0,3.2,4.3,1005,56640
T0144,May,Gamma,South,100510,39,11.9,3.4,4.3,1056,61364
T0145,May,Beta,North,111210,38,14.1,1.9,4.3,884,56331
T0146,May,Beta,South,111501,30,14.2,2.7,5.0,1119,50413
T0147,May,Gamma,North,104453,17,7.5,3.2,4.6,1085,41959
T0148,May,Beta,West,100400,28,10.6,3.2,4.0,1169,49560
T0149,May,Alpha,East,99520,17,12.5,2.1,3.8,840,41659
T0150,May,Alpha,North,108569,58,15.0,2.1,4.2,1111,46143
T0151,June,Beta,North,108032,41,14.4,2.0,3.6,981,56765
T0152,June,Beta,South,105295,47,13.6,2.3,3.8,1000,55701
T0153,June,Beta,East,96900,59,7.1,3.4,3.8,989,45153
