Student_ID,Attendance,Assignments,Internal_Marks,Lab_Marks,Final_Marks,Study_Hours,Section
S001,92.5,94.6,88.9,93.9,50.7,1.5,C
S002,95.3,96.3,92.6,90.5,46.3,1.2,B
S003,97.0,100.0,87.5,88.9,54.4,1.3,C
S004,89.3,96.9,86.8,90.0,49.5,1.8,B
S005,96.2,95.3,89.9,83.8,49.9,1.4,A
S006,147.0,92.4,87.0,92.7,46.0,1.7,C
S007,90.5,94.0,91.0,91.6,54.0,1.6,C
S008,89.9,94.3,88.7,90.5,46.7,1.7,C
S009,92.7,100.0,93.6,87.4,49.1,1.1,A
S010,90.2,95.9,91.6,87.8,48.0,0.8,B
S011,91.5,91.8,86.4,87.4,49.7,1.0,A
S012,87.6,100.0,84.1,86.7,55.5,2.9,C
S013,88.5,93.9,89.0,95.2,47.0,1.6,B
S014,94.3,96.3,86.9,89.6,45.9,1.6,C
S015,91.2,95.7,86.3,91.4,53.0,1.8,B
S016,,95.2,88.0,87.8,50.9,1.7,A
S017,98.3,99.7,89.2,87.7,46.7,2.2,B
S018,92.8,96.4,82.8,92.8,51.4,1.3,A
S019,,95.8,88.2,89.1,49.7,1.6,C
S020,92.5,99.4,80.3,89.3,50.5,1.8,B
S021,90.9,89.7,89.0,95.2,45.4,2.0,C
S022,,94.8,84.8,89.0,53.9,1.9,A
S023,97.2,98.5,89.3,95.2,51.3,2.0,C
S024,91.1,95.2,85.9,93.0,46.5,2.0,C
S025,85.8,86.8,87.2,82.7,67.3,2.6,C
S026,69.2,80.8,71.5,65.8,60.5,3.2,A
S027,68.1,74.4,73.6,71.9,45.7,1.9,B
S028,85.4,93.8,70.4,78.8,60.8,4.8,A
S029,99.2,100.0,91.9,99.8,81.5,5.3,A
S030,86.4,83.0,81.6,82.6,60.9,4.6,B
S031,71.9,81.8,65.7,66.3,64.4,4.4,C
S032,88.4,89.4,84.3,83.9,75.8,6.5,C
S033,69.4,62.7,60.5,67.5,44.4,2.6,A
S034,63.8,71.2,66.6,66.4,45.5,2.8,A
S035,81.7,87.8,84.1,82.2,61.1,5.0,B
S036,85.5,89.4,86.3,90.4,72.8,3.8,A
S037,79.9,86.5,67.4,71.9,49.4,2.7,A
S038,79.2,76.8,74.2,79.7,54.1,5.5,B
S039,,94.3,90.6,87.1,71.2,3.3,A
S040,97.9,86.1,90.0,83.8,61.2,4.7,B
S041,68.4,63.7,59.0,57.3,41.1,3.5,B
S042,82.4,84.9,84.7,77.4,70.4,2.7,C
S043,84.1,83.6,76.0,79.4,78.8,6.2,C
S044,84.3,91.1,76.5,83.4,68.9,4.2,A
S045,68.3,66.3,66.1,70.4,63.8,3.9,C
S046,90.2,97.8,89.0,90.6,78.0,4.4,C
S047,83.9,75.9,76.6,90.6,70.3,4.4,A
